Item,Mois,Montant,MonthLabel_en,StartOfMonth
Zircone stratifié (Délai 2) / Zircone coping+porcelain,Feb 2024,21150.0,Feb 2024,2024-02-01
Céramo-métallique (délai 2) / PFM,Feb 2024,17200.0,Feb 2024,2024-02-01
Zircone Multi-couche (Délai 2) / Multilayer Dmax zircone,Feb 2024,13715.0,Feb 2024,2024-02-01
Inlay Core (Délai 2) / Post Core,Feb 2024,14610.0,Feb 2024,2024-02-01
Zircone Multi-couche (Délai 1) / Multilayer Dmax zircone,Feb 2024,13550.0,Feb 2024,2024-02-01
Zircone Stratifié (Délai 1) / Zircone coping+porcelain,Feb 2024,18030.0,Feb 2024,2024-02-01
Zircone Mono (délai 2) / Xtcera full zircone,Feb 2024,9240.0,Feb 2024,2024-02-01
Stellite Finition Direct (délai 2) / CCP + Acrylic direct finish,Feb 2024,11330.0,Feb 2024,2024-02-01
Inlay/Onlay Composite (Délai 2),Feb 2024,14085.0,Feb 2024,2024-02-01
Zircone Mono (délai 1) / Xtcera full zircone,Feb 2024,9840.0,Feb 2024,2024-02-01
Stellite Finition Direct (Délai 1) / CCP + Acrylic direct finish,Feb 2024,6300.0,Feb 2024,2024-02-01
Inlay Core (Délai 1) / Post Core,Feb 2024,8720.0,Feb 2024,2024-02-01
Partiel Résine Finition Directe (délais 2) / Partial acrylic denture,Feb 2024,7000.0,Feb 2024,2024-02-01
Céramo-métallique (délai 1) / PFM,Feb 2024,6930.0,Feb 2024,2024-02-01
Dents Supplémentaires (délai 2) / Tooth,Feb 2024,7800.0,Feb 2024,2024-02-01
Emax (Délai 2) / Emax Press,Feb 2024,6640.0,Feb 2024,2024-02-01
Partiel résine finition directe (délais 1) / Partial acrylic denture,Feb 2024,6580.0,Feb 2024,2024-02-01
Emax Onlay high translucide  HT(Délai 1),Feb 2024,5310.0,Feb 2024,2024-02-01
Complet Finition Direct (délai 2) / Full Acrylic denture,Feb 2024,4290.0,Feb 2024,2024-02-01
Inlay/Onlay composite (Délai 1),Feb 2024,5723.0,Feb 2024,2024-02-01
Emax Onlay high translucide  HT (Délai 2),Feb 2024,6160.0,Feb 2024,2024-02-01
Emax (Délai 1) / Emax Press,Feb 2024,6300.0,Feb 2024,2024-02-01
Dents supplémentaires (Délai 1) / Tooth,Feb 2024,4544.0,Feb 2024,2024-02-01
Stellite en Essayage (délai 2) / CCP + Wax Try in setup,Feb 2024,5830.0,Feb 2024,2024-02-01
Montage complet sur cire (essayage Délai 2) / Full wax try setup denture,Feb 2024,4250.0,Feb 2024,2024-02-01
Rajout Crochet,Feb 2024,3510.0,Feb 2024,2024-02-01
Provisoire (Délai 1) / Temporary Crown,Feb 2024,3900.0,Feb 2024,2024-02-01
Supplément Cr sur implant (délai 2) / Screwed Crown,Feb 2024,2120.0,Feb 2024,2024-02-01
Gouttière Bruxisme mixte (souple/dur) (Délai 1) / Hard & Soft Night Guard Tray,Feb 2024,2160.0,Feb 2024,2024-02-01
Montage Complet sur cire (essayage Délai 1) / Full wax try setup denture,Feb 2024,2770.0,Feb 2024,2024-02-01
